Date,Close,IHSG Close(D-1),Close(D-1),Close(D-2),Close(D-3),Close(D-4),Close(D-5),Close(D-6),Close(D-7)
2023-01-09,272,6898.077148,274,268,264,268,272,278,278
2023-01-06,270,6852.841797,272,274,268,264,268,272,278
2023-01-05,268,6886.366211,270,272,274,268,264,268,272
2023-01-04,286,6868.812988,268,270,272,274,268,264,268
2023-01-03,298,6875.111816,286,268,270,272,274,268,264
2023-01-02,296,6893.275879,298,286,268,270,272,274,268
2022-12-30,294,6879.979004,296,298,286,268,270,272,274
2022-12-29,296,6910.171875,294,296,298,286,268,270,272
2022-12-28,292,6915.101074,296,294,296,298,286,268,270
2022-12-27,302,6900.538086,292,296,294,296,298,286,268
2022-12-26,308,6859.912109,302,292,296,294,296,298,286
2022-12-23,294,6866.033203,308,302,292,296,294,296,298
2022-12-22,296,6916.450195,294,308,302,292,296,294,296
2022-12-21,296,6921.410156,296,294,308,302,292,296,294
2022-12-20,294,6899.39209,296,296,294,308,302,292,296
2022-12-19,306,6895.442871,294,296,296,294,308,302,292
2022-12-16,314,6921.727051,306,294,296,296,294,308,302
2022-12-15,320,6957.834961,314,306,294,296,296,294,308
2022-12-14,308,6966.655762,320,314,306,294,296,296,294
2022-12-13,292,6953.259766,308,320,314,306,294,296,296
2022-12-12,294,6977.653809,292,308,320,314,306,294,296
2022-12-09,296,6996.75,294,292,308,320,314,306,294
2022-12-08,302,6991.708008,296,294,292,308,320,314,306
2022-12-07,290,6995.953125,302,296,294,292,308,320,314
2022-12-06,310,6954.808105,290,302,296,294,292,308,320
2022-12-05,332,6924.779785,310,290,302,296,294,292,308
2022-12-02,356,6963.393066,332,310,290,302,296,294,292
2022-12-01,348,6933.969238,356,332,310,290,302,296,294
2022-11-30,338,6935.476074,348,356,332,310,290,302,296
2022-11-29,340,6959.333008,338,348,356,332,310,290,302
2022-11-28,332,6982.791016,340,338,348,356,332,310,290
2022-11-25,336,6936.083008,332,340,338,348,356,332,310
2022-11-24,344,6980.320801,336,332,340,338,348,356,332
2022-11-23,348,7011.681152,344,336,332,340,338,348,356
2022-11-22,344,6991.46582,348,344,336,332,340,338,348
2022-11-21,340,7016.844238,344,348,344,336,332,340,338
2022-11-18,338,6998.380859,340,344,348,344,336,332,340
2022-11-17,338,6923.799805,338,340,344,348,344,336,332
2022-11-16,334,6937.828125,338,338,340,344,348,344,336
2022-11-15,344,6939.89209,334,338,338,340,344,348,344
2022-11-14,340,6961.458984,344,334,338,338,340,344,348
2022-11-11,364,6940.887207,340,344,334,338,338,340,344
2022-11-10,390,6886.576172,364,340,344,334,338,338,340
2022-11-09,378,6874.826172,390,364,340,344,334,338,338
2022-11-08,382,6888.518066,378,390,364,340,344,334,338
2022-11-07,382,6891.455078,382,378,390,364,340,344,334
2022-11-04,378,6922.187988,382,382,378,390,364,340,344
2022-11-03,394,6931.75293,378,382,382,378,390,364,340
2022-11-02,380,6935.150879,394,378,382,382,378,390,364
2022-11-01,336,6926.779785,380,394,378,382,382,378,390
2022-10-31,336,6896.291992,336,380,394,378,382,382,378
2022-10-28,322,6939.615234,336,336,380,394,378,382,382
2022-10-27,336,6927.905762,322,336,336,380,394,378,382
2022-10-26,344,6846.426758,336,322,336,336,380,394,378
2022-10-25,294,6849.167969,344,336,322,336,336,380,394
2022-10-24,292,6741.963867,294,344,336,322,336,336,380
